source,target
Siemens COMOS before 9.2.0.8.1 10.0 before 10.0.3.1.40 and 10.1 before 10.1.0.0.2 allows local users to gain database privileges via unspecified vectors. ,Permissions; Privileges; and Access Controls
OleumTech WIO DH2 Wireless Gateway and Sensor Wireless I O Modules rely exclusively on a time value for entropy in key generation which makes it easier for remote attackers to defeat cryptographic protection mechanisms by predicting the time of project creation. ,Exposure of Sensitive Information to an Unauthorized Actor
An Improper Validation of Integrity Check Value issue was discovered in PHOENIX CONTACT mGuard firmware versions 7.2 to 8.6.0. mGuard devices rely on internal checksums for verification of the internal integrity of the update packages. Verification may not always be performed correctly allowing an attacker to modify firmware update packages. ,Improper Input Validation
Baxter ExactaMix EM 2400 Versions 1.10 1.11 and 1.13 and ExactaMix EM1200 Versions 1.1 1.2 and 1.4 does not restrict non administrative users from gaining access to the operating system and editing the application startup script. Successful exploitation of this vulnerability may allow an attacker to alter the startup script as the limitedaccess user. ,Exposure of Resource to Wrong Sphere
In Advantech WebAccess versions V8.2_20170817 and prior WebAccess versions V8.3.0 and prior WebAccess Dashboard versions V.2.0.15 and prior WebAccess Scada Node versions prior to 8.3.1 and WebAccess NMS 2.0.3 and prior several stackbased buffer overflow vulnerabilities have been identified which may allow an attacker to execute arbitrary code. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Sensitive Information Disclosure in Zipato Zipabox Smart Home Controller allows remote attacker get sensitive information that expands attack surface. ,Exposure of Sensitive Information to an Unauthorized Actor
An ActiveX control in GenLaunch.htm in ICONICS GENESIS32 8.0 8.02 8.04 and 8.05 allows remote attackers to execute arbitrary programs via a crafted HTML document. ,Improper Input Validation
Certain NETGEAR devices are affected by stored XSS. This affects D7800 before 1.0.1.56 R7500v2 before 1.0.3.46 R7800 before 1.0.2.68 R8900 before 1.0.4.28 R9000 before 1.0.4.28 RAX120 before 1.0.0.78 XR500 before 2.3.2.56 and XR700 before 1.0.1.10. ,Improper Neutralization of Special Elements
Certain NETGEAR devices are affected by authentication bypass. This affects WAC505 before 5.0.0.17 and WAC510 before 5.0.0.17. ,Improper Authentication
Multiple Buffer Overflow vulnerabilities in the Link Layer Discovery Protocol (LLDP) subsystem of Cisco IOS Software Cisco IOS XE Software and Cisco IOS XR Software could allow an unauthenticated adjacent attacker to cause a denial of service (DoS) condition or execute arbitrary code with elevated privileges on an affected device. Cisco Bug IDs: CSCuo17183 CSCvd73487. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
The packetprocessing microcode in Cisco IOS 15.2(2)EA 15.2(2)EA1 15.2(2)EA2 and 15.2(4)EA on Industrial Ethernet 4000 devices and 15.2(2)EB and 15.2(2)EB1 on Industrial Ethernet 5000 devices allows remote attackers to cause a denial of service (packet data corruption) via crafted IPv4 ICMP packets aka Bug ID CSCuy13431. ,Resource Management Errors
There exists a partial Denial of Service vulnerability in Wanscam HW0021 IP Cameras. An attacker could craft a malicious POST request to crash the ONVIF service on such a device. ,Improper Input Validation
Rockwell Automation EtherNet IP products; 1756ENBT 1756EWEB 1768ENBT and 1768EWEB communication modules; CompactLogix L32E and L35E controllers; 1788ENBT FLEXLogix adapter; 1794AENTR FLEX I O EtherNet IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 do not properly perform authentication for Ethernet firmware updates which allows remote attackers to execute arbitrary code via a Trojan horse update image. ,Improper Authentication
Kindle Tablet Smart Home NA Kindle Fire HD3 Unknown,Improper Neutralization of Special Elements
An Improper Input Validation issue was discovered in Nari PCS9611 relay. An improper input validation vulnerability has been identified that affects a service within the software that may allow a remote attacker to arbitrarily read access system resources and affect the availability of the system. ,Improper Input Validation
In ATI Systems Emergency Mass Notification Systems (HPSS16 HPSS32 MHPSS and ALERT4000) devices anImproper Authentication vulnerability caused by specially crafted malicious radio transmissions may allow an attacker to remotely trigger false alarms. ,Improper Authentication
There is a reflected XSS vulnerability in AXON PBX 2.02 via the AXON>AutoDialer>Agents>Name field. The vulnerability exists due to insufficient filtration of usersupplied data. A remote attacker can execute arbitrary HTML and script code in a browser in the context of the vulnerable application. ,Improper Neutralization of Special Elements
Crosssite request forgery (CSRF) vulnerability in Siemens WinCC (TIA Portal) 11 and 12 before 12 SP1 allows remote attackers to hijack the authentication of unspecified victims by leveraging improperConfiguration of SIMATIC HMI panels by the WinCC product. ,Insufficient Verification of Data Authenticity
NETGEAR WiFi Router Telecomm NETGEAR R7800 R7800 Linux Linux 1 3 5a ,Improper Restriction of Operations within the Bounds of a Memory Buffer
A vulnerability has been identified in Siveillance VMS 2017 R2 (All versions < V11.2a) Siveillance VMS 2018 R1 (All versions < V12.1a) Siveillance VMS 2018 R2 (All versions < V12.2a) Siveillance VMS 2018 R3 (All versions < V12.3a) Siveillance VMS 2019 R1 (All versions < V13.1a). An attacker with network access to port 80 TCP could change user roles without proper authorization. The security vulnerability could be exploited by an authenticated attacker with network access to the affected service. No user interaction is required to exploit this security vulnerability. Successful exploitation compromises confidentiality integrity and availability of the targeted system. At the time of advisory publication no public exploitation of this security vulnerability was known. ,Insufficient Control Flow Management
ismartgate PRO 1.5.9 is vulnerable to malicious file uploads via the form for uploading sounds to garage doors. The magic bytes for WAV must be used. ,Incorrect Resource Transfer Between Spheres
Stackbased buffer overflow in Advantech WebAccess (formerly BroadWin WebAccess) 7.2 allows remote attackers to execute arbitrary code via the NodeName parameter. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by disclosure of sensitive information. This affects CBR40 before 2.5.0.10 RBK752 before 3.2.15.25 RBR750 before 3.2.15.25 RBS750 before 3.2.15.25 RBK852 before 3.2.10.11 RBR850 before 3.2.10.11 and RBS850 before 3.2.10.11. ,Exposure of Sensitive Information to an Unauthorized Actor
Hospira MedNet before 6.1 uses hardcoded cryptographic keys for protection of data transmission from infusion pumps which allows remote attackers to obtain sensitive information by sniffing the network. ,Cryptographic Issues
Stackbased buffer overflow in Advantech WebAccess (formerly BroadWin WebAccess) 7.2 allows remote attackers to execute arbitrary code via the NodeName2 parameter. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
AirTies WiFi Router Telecomm NA Air 5442 Unknown,Improper Neutralization of Special Elements
An issue was discovered in Hanwha Techwin Smart Security Manager Versions 1.5 and prior. Multiple Cross Site Request Forgery vulnerabilities have been identified. The flaws exist within the Redis and Apache Felix Gogo servers that are installed as part of this product. By issuing specific HTTP Post requests an attacker can gain system level access to a remote shell session. Smart Security Manager Versions 1.5 and prior are affected by these vulnerabilities. These vulnerabilities can allow for remote code execution. ,Insufficient Verification of Data Authenticity
Tenda WiFi Router Telecomm Tenda AC7 AC7 Linux,Improper Restriction of Operations within the Bounds of a Memory Buffer
A vulnerability was discovered in Siemens SIMATIC WinCC (V7.3 before Upd 11 and V7.4 before SP1) SIMATIC WinCC Runtime Professional (V13 before SP2 and V14 before SP1) SIMATIC WinCC (TIA Portal) Professional (V13 before SP2 and V14 before SP1) that could allow an authenticated remote attacker who is member of the administrators group to crash services by sending specially crafted messages to the DCOM interface. ,Improper Input Validation
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
 ismartgate PRO 1.5.9 is vulnerable to clickjacking. ,Improper Control of a Resource Through its Lifetime
Crosssite scripting (XSS) vulnerability in the advanced settingstime server module in WibuSystems CodeMeter before 6.50b allows remote attackers to inject arbitrary web script or HTML via the server name field in actions ChangeConfiguration.html. ,Improper Neutralization of Special Elements
NETGEAR WiFi Router Telecomm NETGEAR R7800 R7800 Linux Linux 1 3 5a ,Improper Neutralization of Special Elements
DLink DCHM225 1.05b01 and earlier devices allow remote attackers to execute arbitrary OS commands via shell metacharacters in the spotifyConnect.php userName parameter. ,Improper Neutralization of Special Elements
The WebNavigator server in Siemens SIMATIC WinCC before 7.3 as used in PCS7 and other products allows remote attackers to obtain sensitive information via an HTTP request. ,Exposure of Sensitive Information to an Unauthorized Actor
The Quagga BGP daemon (bgpd) prior to version 1.2.3 can overrun internal BGP codetostring conversion tables used for debug by 1 pointer value based on input. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
NUUO CMS all versions 3.1 and prior The application uses insecure and outdated software components for functionality which could allow arbitrary code execution. ,Improper Authentication
Certain NETGEAR devices are affected by a stackbased buffer overflow by an authenticated user. This affects D7800 before 1.0.1.34 DM200 before 1.0.0.50 R6100 before 1.0.1.22 R7500 before 1.0.0.122 R7800 before 1.0.2.42 R8900 before 1.0.3.10 R9000 before 1.0.3.10 WNDR3700v4 before 1.0.2.96 WNDR4300 before 1.0.2.98 WNDR4300v2 before 1.0.0.54 WNDR4500v3 before 1.0.0.54 and WNR2000v5 before 1.0.0.64. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Grandstream GWN7000 before 1.0.6.32 and GWN7610 before 1.0.8.18 devices allow remote authenticated users to discover passwords via aubus uci.apply config request. ,Improper Neutralization of Special Elements
Yokogawa STARDOM FCN FCJ controller R1.01 through R4.01 does not require authentication for Logic Designer connections which allows remote attackers to reconfigure the device or cause a denial of service via a (1) stop application program (2) change value or (3) modify application command. ,Improper Authentication
In firmware version MS_2.6.9900 of Columbia Weather MicroServer a readouts_rd.php directory traversal issue makes it possible to read any file present on the underlying operating system. ,Exposure of Resource to Wrong Sphere
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Schweitzer Engineering Laboratories (SEL) SEL2241 SEL3505 and SEL3530 RTAC master devices allow physically proximate attackers to cause a denial of service (infinite loop) via crafted input over a serial line. ,Improper Input Validation
DLink WiFi Router Telecomm DCM604 DCM604 Linux,Insufficiently Protected Credentials
NETGEAR WiFi Router Telecomm NETGEAR R7800 R7800 Linux Linux 1 3 5a ,Improper Neutralization of Special Elements
An issue was discovered in Carlo Gavazzi VMUC EM prior to firmware Version A11_U05 and VMUC PV prior to firmware Version A17. Sensitive information is stored in cleartext. ,Exposure of Sensitive Information to an Unauthorized Actor
Actiontec WiFi Router Telecomm Actiontec C1000A C1000A Unknown,Improper Neutralization of Special Elements
Zyxel USG50 Security Appliance and NWA3560N Access Point allow remote attackers to cause a denial of service (CPU consumption) via a flood of ICMPv4 Port Unreachable packets. ,Resource Management Errors
NETGEAR WiFi Router Telecomm NETGEAR R6100 R6100 Linux Linux routeros rb2011uias ,Improper Restriction of Operations within the Bounds of a Memory Buffer
iSmartAlarm cube devices allow Denial of Service. Sending a SYN flood on port 12345 will freeze the cube and it will stop responding. ,Improper Input Validation
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Technicolor WiFi Router Telecomm NA TC7110 Unknown,Insufficiently Protected Credentials
On iSmartAlarm cube devices there is Incorrect Access Control because a new key is transmitted in cleartext. ,Missing Encryption of Sensitive Data
The SV3C HD Camera (LSERIES V2.3.4.2103S50NTDB20170508B and V2.3.4.2103S50NTDB20170823B) stores the username and password within the cookies of a session. If an attacker gained access to these session cookies it would be possible to gain access to the username and password of the loggedin account. ,Missing Encryption of Sensitive Data
Heapbased buffer overflow in Xper in Philips Xper Information Management Physiomonitoring 5 components Xper Information Management Vascular Monitoring 5 components and Xper Information Management servers and workstations for Flex Cardio products before XperConnect 1.5.4.053 SP2 allows remote attackers to execute arbitrary code via a crafted HTTP request to the Connect broker on TCP port 6000. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Canon Digital Camera Other Canon EOS1D X Mark III EOS1D X Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
An issue was discovered on KT Slim egg IML500 (R7283 R8112 R8424) and IML520 (R8112 R8368 R8411) wifi device. This issue is a command injection allowing attackers to execute arbitrary OS commands. ,Improper Neutralization of Special Elements
Tollgrade SmartGrid LightHouse Sensor Management System (SMS) Software EMS before 5.1 and 4.1.0 Build 16 allows remote authenticated users to change arbitrary passwords via unspecified vectors. ,Credentials Management Errors
Cobham Satcom Sailor 250 and 500 devices before 1.25 contained an unauthenticated password reset vulnerability. This could allow modification of any user account's password (including the default admin account) without prior knowledge of their password. All that is required is knowledge of the username and attack vector ( index.lua?pageID=Administration usernameAdmChange passwordAdmChange1 and passwordAdmChange2 fields). ,Improper Authentication
A malicious attacker can trigger a remote buffer overflow in the Communication Server in Fatek Automation PM Designer V3 Version 2.1.2.2 and Automation FV Designer Version 1.2.8.0. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
DLink WiFi Router Telecomm NA DWR116 Unknown,Improper Neutralization of Special Elements
Certain NETGEAR devices are affected by an attacker's ability to read arbitrary files. This affects D6220 before 1.0.0.40 D6400 before 1.0.0.74 D7000 before 1.0.1.60 D7800 before 1.0.1.34 D8500 before 1.0.3.39 DGN2200v4 before 1.0.0.94 DGN2200Bv4 before 1.0.0.94 EX6200v2 before 1.0.1.50 EX7000 before 1.0.0.56 JR6150 before 1.0.1.18 R6050 before 1.0.1.10J R6100 before 1.0.1.16 R6150 before 1.0.1.10 R6220 before 1.1.0.50 R6250 before 1.0.4.12 R6300v2 before 1.0.4.12 R6400 before 1.0.1.24 R6400v2 before 1.0.2.32 R6700 before 1.0.1.26 R6700v2 before 1.2.0.4 R6800 before 1.0.1.10 R6900 before 1.0.1.26 R6900P before 1.0.0.58 R6900v2 before 1.2.0.4 R7000 before 1.0.9.6 R7000P before 1.0.0.58 R7100LG before 1.0.0.32 R7300 before 1.0.0.54 R7500 before 1.0.0.112 R7500v2 before 1.0.3.20 R7800 before 1.0.2.36 R7900 before 1.0.1.18 R8000 before 1.0.3.48 R8300 before 1.0.2.104 R8500 before 1.0.2.104 R9000 before 1.0.2.40 WNDR3400v3 before 1.0.1.14 WNDR3700v4 before 1.0.2.96 WNDR4300v1 before 1.0.2.98 WNDR4300v2 before 1.0.0.48 WNDR4500v3 before 1.0.0.48 and WNR3500Lv2 before 1.2.0.44. ,Exposure of Sensitive Information to an Unauthorized Actor
An Arbitrary File Upload issue was discovered in 3SSmart Software Solutions GmbH CODESYS Web Server. The following versions of CODESYS Web Server part of the CODESYS WebVisu web browser visualization software are affected: CODESYS Web Server Versions 2.3 and prior. A specially crafted web server request may allow the upload of arbitrary files (with a dangerous type) to the CODESYS Web Server without authorization which may allow remote code execution. ,Incorrect Resource Transfer Between Spheres
The WiFi Protected Setup (WPS) implementation on Corega CGWLR300GNV and CGWLR300GNVW devices does not restrict the number of PIN authentication attempts which makes it easier for remote attackers to obtain network access via a bruteforce attack. ,Security Features like authentication; access control; confidentiality; cryptography; and privilege management
 ntpd in NTP 4.2.x before 4.2.8p4 and 4.3.x before 4.3.77 allows remote authenticated users to cause a denial of service (infinite loop or crash) by pointing the key file at the log file. ,Insufficient Control Flow Management
Crosssite request forgery (CSRF) vulnerability in the web server on Siemens SIMATIC S71200 CPU devices with firmware before 4.1.3 allows remote attackers to hijack the authentication of unspecified victims via unknown vectors. ,Insufficient Verification of Data Authenticity
Shenzhen Skyworth ,Improper Neutralization of Special Elements
Cisco NXOS 4.0 through 7.3 on Multilayer Director and Nexus 1000V 2000 3000 3500 4000 5000 5500 5600 6000 7000 7700 and 9000 devices allows remote authenticated users to bypass intended AAA restrictions and obtain privileged CLI access via crafted parameters in an SSH connection negotiation aka Bug IDs CSCum35502 CSCuw78669 CSCuw79754 and CSCux88492. ,Permissions; Privileges; and Access Controls
A vulnerability has been identified in Siveillance VMS Video for Android (All versions < V12.1a (2018 R1)) Siveillance VMS Video for iOS (All versions < V12.1a (2018 R1)). Improper certificate validation could allow an attacker in a privileged network position to read data from and write data to the encrypted communication channel between the app and a server. The security vulnerability could be exploited by an attacker in a privileged network position which allows intercepting the communication channel between the affected app and a server (such as ManintheMiddle). Furthermore an attacker must be able to generate a certificate that results for the validation algorithm in a checksum identical to a trusted certificate. Successful exploitation requires no user interaction. The vulnerability could allow reading data from and writing data to the encrypted communication channel between the app and a server impacting the communication's confidentiality and integrity. At the time of advisory publication no public exploitation of this security vulnerability was known. Siemens confirms the security vulnerability and provides mitigations to resolve the security issue. ,Improper Authentication
Wink Smart Home Telecomm Insteon Hub Wink Hub 2 Insteon Hub Linux,Missing Encryption of Sensitive Data
rifsrvd.exe in the Remote Interface Service in GE Intelligent Platforms Proficy RealTime Information Portal 2.6 through 3.5 SP1 allows remote attackers to cause a denial of service (memory corruption and service crash) or possibly execute arbitrary code via long input data a different vulnerability than CVE20123021 and CVE20123026. ,Improper Input Validation
NETGEAR R7800 devices before 1.0.2.60 are affected by command injection by an authenticated user. ,Improper Neutralization of Special Elements
Digitus USB Server Other NA DA70254 Unknown,Improper Access Control
Granstream Smart Camera Smart Home GXV3611IR HD GXV3611IR HD Linux,Improper Neutralization of Special Elements
Untrusted search path vulnerability in the Clean Utility application in Rockwell Automation FactoryTalk Services Platform before 2.71.00 and FactoryTalk View Studio 8.00.00 and earlier allows local users to gain privileges via a Trojan horse DLL in an unspecified directory. ,Use of a Broken or Risky Cryptographic Algorithm
NETGEAR WiFi system Telecomm NA RBK752 Unknown,Insufficient Verification of Data Authenticity
GE Centricity PACS RA1000 diagnostic image analysis all current versions are affected these devices use default or hardcoded credentials. Successful exploitation of this vulnerability may allow a remote attacker to bypass authentication and gain access to the affected devices. ,Improper Authentication
This vulnerability allows networkadjacent attackers to bypass authentication on affected installations of DLink DIR842 3.13B05 routers. Authentication is not required to exploit this vulnerability. The specific flaw exists within the processing of HNAP GetCAPTCHAsetting requests. The issue results from the lack of proper handling of sessions. An attacker can leverage this vulnerability to execute arbitrary code in the context of the device. Was ZDICAN10083. ,Improper Authentication
A vulnerability has been identified in Siemens APOGEE PXC and TALON TC BACnet Automation Controllers in all versions <V3.5. A directory traversal vulnerability could allow a remote attacker with network access to the integrated web server (80 tcp and 443 tcp) to obtain information on the structure of the file system of the affected devices. ,Exposure of Resource to Wrong Sphere
An issue was discovered in Roche AccuChek Inform II Base Unit Base Unit Hub before 03.01.04 and CoaguChek cobas h232 Handheld Base Unit before 03.01.04. Weak access credentials may enable attackers in the adjacent network to gain unauthorized service access via a service interface. ,Improper Authentication
Dahua Smart Camera Smart Home NA IPCHFW2421R Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
An exploitable remote code execution vulnerability exists in the ping and tracert functionality of the TPLink TLR600VPN HWv3 FRNv1.3.0 and HWv2 FRNv1.2.3 http server. A specially crafted IP address can cause a stack overflow resulting in remote code execution. An attacker can send a single authenticated HTTP request to trigger this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Zoom 5352 v5.5.8.6Y devices allow remote attackers to discover credentials via iso.3.6.1.4.1.4491.2.4.1.1.6.1.1.0 and iso.3.6.1.4.1.4491.2.4.1.1.6.1.2.0 SNMP requests. ,Insufficiently Protected Credentials
Certain NETGEAR devices are affected by command injection by an authenticated user. This affects R6220 before 1.1.0.100 and R6230 before 1.1.0.100. ,Improper Neutralization of Special Elements
MASTER IPCAMERA01 3.3.4.2103 devices allow UnauthenticatedConfiguration Change as demonstrated by the port number of the web server. ,Improper Authentication
A vulnerability in the Transport Layer Security (TLS) library of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated remote attacker to trigger a reload of the affected device resulting in a denial of service (DoS) condition. The vulnerability is due to insufficient validation of usersupplied input. An attacker could exploit this vulnerability by sending a malicious TLS message to an interface enabled for Secure Layer Socket (SSL) services on an affected device. Messages using SSL Version 3 (SSLv3) or SSL Version 2 (SSLv2) cannot be be used to exploit this vulnerability. An exploit could allow the attacker to cause a buffer underflow triggering a crash on an affected device. This vulnerability affects Cisco ASA Software and Cisco FTD Software that is running on the following Cisco products: Adaptive Security Virtual Appliance (ASAv) Firepower Threat Defense Virtual (FTDv) Firepower 2100 Series Security Appliance. Cisco Bug IDs: CSCve18902 CSCve34335 CSCve38446. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An Uncontrolled Search Path Element issue was discovered in SIMPlight SCADA Software version 4.3.0.27 and prior. The uncontrolled search path element vulnerability has been identified which may allow an attacker to place a malicious DLL file within the search path resulting in execution of arbitrary code. ,Exposure of Resource to Wrong Sphere
Crosssite scripting (XSS) vulnerability in the login form in the integrated web server on Siemens OZW OZW672 devices before 6.00 and OZW772 devices before 6.00 allows remote attackers to inject arbitrary web script or HTML via a crafted URL. ,Improper Neutralization of Special Elements
Kindle Tablet Smart Home NA Kindle Fire HD3 Unknown,Improper Neutralization of Special Elements
Invensys Wonderware InTouch HMI 2012 R2 and earlier allows remote attackers to read arbitrary files send HTTP requests to intranet servers or cause a denial of service (CPU and memory consumption) via an XML document containing an external entity declaration in conjunction with an entity reference related to an XML External Entity (XXE) issue. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Circontrol CirCarLife all versions prior to 4.3.1 the PAP credentials of the device are stored in clear text in a log file that is accessible without authentication. ,Exposure of Sensitive Information to an Unauthorized Actor
SV3C IP Camera Smart Home NA svb01 h 264 svb11v s50ntdb20170508B Unknown,Exposure of Sensitive Information to an Unauthorized Actor
Foscam WiFi Camera Smart Home Foscam C2 C2 Linux Linux Debian10+deb10u2 Debian10 deb10u2 ,Incorrect Permission Assignment for Critical Resource
Certain NETGEAR devices are affected by a hardcoded password. This affects D6200 before 1.1.00.36 D7000 before 1.0.1.74 PR2000 before 1.0.0.30 R6020 before 1.0.0.42 R6080 before 1.0.0.42 R6050 before 1.0.1.24 JR6150 before 1.0.1.24 R6120 before 1.0.0.48 R6220 before 1.1.0.86 R6230 before 1.1.0.86 R6260 before 1.1.0.64 R6700v2 before 1.2.0.62 R6800 before 1.2.0.62 R6900v2 before 1.2.0.62 and WNR2020 before 1.1.0.62. ,Improper Authentication
Multiple stackbased buffer overflows in the (1) send_dg and (2) send_vc functions in the libresolv library in the GNU C Library (aka glibc or libc6) before 2.23 allow remote attackers to cause a denial of service (crash) or possibly execute arbitrary code via a crafted DNS response that triggers a call to the getaddrinfo function with the AF_UNSPEC or AF_INET6 address family related to performing dual A AAAA DNS queries and the libnss_dns.so.2 NSS module. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
The Microsoft Server Message Block 1.0 (SMBv1) server on Microsoft Windows Server 2008 SP2 and R2 SP1 Windows 7 SP1 Windows 8.1 Windows Server 2012 Gold and R2 Windows RT 8.1 Windows 10 Gold 1511 1607 and 1703 and Windows Server 2016 allows an attacker to execute remote code by the way it handles certain requests aka Windows SMB Remote Code Execution Vulnerability. This CVE ID is unique from CVE20170272 CVE20170277 and CVE20170279. ,Improper Authorization
The MessageBrokerServlet servlet in Moxa OnCell Central Manager before 2.2 does not require authentication which allows remote attackers to obtain administrative access via a command as demonstrated by the addUserAndGroup action. ,Improper Authentication
ASUS WiFi Router Telecomm NA WL330NUL Unknown,Improper Neutralization of Special Elements
Directory traversal vulnerability in Buffalo WNC01WH devices with firmware version 1.0.0.8 and earlier allows authenticated attackers to read arbitrary files via specially crafted commands. ,Exposure of Resource to Wrong Sphere
Moxa PT7728 devices with software 3.4 build 15081113 allow remote authenticated users to change theConfiguration via vectors involving a local proxy. ,Improper Authorization
Cisco IOS 12.2 12.4 15.0 15.1 15.2 15.3 and 15.4 and IOS XE 2.5.x 2.6.x 3.1.xS through 3.12.xS before 3.12.3S 3.2.xE through 3.7.xE before 3.7.1E 3.3.xSG 3.4.xSG and 3.13.xS before 3.13.2S allow remote attackers to cause a denial of service (memory consumption and device reload) by sending malformed IKEv2 packets over (1) IPv4 or (2) IPv6 aka Bug ID CSCuo75572. ,Resource Management Errors
The Microsoft Server Message Block 1.0 (SMBv1) allows denial of service when an attacker sends specially crafted requests to the server aka Windows SMB Denial of Service Vulnerability. This CVE ID is unique from CVE20170273 and CVE20170280. ,Improper Input Validation
The Microsoft Server Message Block 1.0 (SMBv1) server on Microsoft Windows Server 2008 SP2 and R2 SP1 Windows 7 SP1 Windows 8.1 Windows Server 2012 Gold and R2 Windows RT 8.1 Windows 10 Gold 1511 1607 and 1703 and Windows Server 2016 allows an attacker to execute remote code by the way it handles certain requests aka Windows SMB Remote Code Execution Vulnerability. This CVE ID is unique from CVE20170277 CVE20170278 and CVE20170279. ,Improper Authorization
The Quagga BGP daemon (bgpd) prior to version 1.2.3 has a bug in its parsing of Capabilities in BGP OPEN messages in the bgp_packet.c:bgp_capability_msg_parse function. The parser can enter an infinite loop on invalid capabilities if a MultiProtocol capability does not have a recognized AFI SAFI causing a denial of service. ,Insufficient Control Flow Management
SV3C IP Camera Smart Home NA svb01 h 264 svb11v s50ntdb20170508B Unknown,Exposure of Sensitive Information to an Unauthorized Actor
Draytek Router Telecomm DrayTek Vigor2960 router Vigor2960 Linux Linux dropbear 0 49 ,Improper Restriction of Operations within the Bounds of a Memory Buffer
The crypto_xmit function in ntpd in NTP 4.2.x before 4.2.8p4 and 4.3.x before 4.3.77 allows remote attackers to cause a denial of service (crash).NOTE: This vulnerability exists due to an incomplete fix for CVE20149750. ,Improper Input Validation
Wavlink WiFi Router Telecomm WN530HG4 WN530HG4 Linux,Insufficiently Protected Credentials
NETGEAR WiFi Access Point Telecomm NETGEAR WAC505 WAC505 Linux,Improper Neutralization of Special Elements
TPLink Router Telecomm NA TLR600VPN Unknown,Improper Input Validation
A SQL Injection issue was discovered in Ecava IntegraXor v 6.1.1030.1 and prior. The SQL Injection vulnerability has been identified which generates an error in the database log. ,Improper Neutralization of Special Elements
Crestron TSWX60 all versions prior to 2.001.0037.001 and MC3 all versions prior to 1.502.0047.00 The passwords for special sudo accounts may be calculated using information accessible to those with regular user privileges. Attackers could decipher these passwords which may allow them to execute hidden API calls and escape the CTP console sandbox environment with elevated privileges. ,Exposure of Sensitive Information to an Unauthorized Actor
The NETGEAR WNR2000v5 router allows an administrator to perform sensitive actions by invoking the apply.cgi URL on the web server of the device. This special URL is handled by the embedded web server (uhttpd) and processed accordingly. The web server also contains another URL apply_noauth.cgi that allows an unauthenticated user to perform sensitive actions on the device. This functionality can be exploited to change the router settings (such as the answers to the passwordrecovery questions) and achieve remote code execution. ,Improper Input Validation
The SV3C HD Camera (LSERIES V2.3.4.2103S50NTDB20170508B) does not perform proper validation on usersupplied input and is vulnerable to crosssite scripting attacks. If proper authorization was implemented this vulnerability could be leveraged to perform actions on behalf of another user or the administrator. ,Improper Neutralization of Special Elements
In Omron CXSupervisor Versions 3.30 and prior use after free vulnerabilities can be exploited when CX Supervisor parses a specially crafted project file. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Multiple buffer overflows in ActUWzd.dll 1.0.0.1 in Mitsubishi MX Component 3 as distributed in Citect CitectFacilities 7.10 and CitectScada 7.10r1 allow remote attackers to execute arbitrary code via a long string as demonstrated by a long WzTitle property value to a certain ActiveX control. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An issue was discovered on Momentum Axel 720P 5.1.8 devices. Root access can be obtained via UART pins without any restrictions which leads to full system compromise. ,Incorrect Permission Assignment for Critical Resource
A vulnerability has been identified in Firmware variant PROFINET IO for EN100 Ethernet module : All versions < V1.04.01; Firmware variant Modbus TCP for EN100 Ethernet module : All versions < V1.11.00; Firmware variant DNP3 TCP for EN100 Ethernet module : All versions < V1.03; Firmware variant IEC 104 for EN100 Ethernet module : All versions < V1.21; EN100 Ethernet module included in SIPROTEC Merging Unit 6MU80 : All versions < 1.02.02. Specially crafted packets sent to port 50000 UDP could cause a denialofservice of the affected device. A manual reboot may be required to recover the service of the device. ,Software Development
